person_id,name,name_cn,name_en
1036450,安德鲁·斯坦顿 Andrew Stanton,安德鲁·斯坦顿,Andrew Stanton
1014716,庄文强 Felix Chong,庄文强,Felix Chong
1310636,唐·霍尔 Don Hall,唐·霍尔,Don Hall
1300949,克里斯·威廉姆斯 Chris Williams,克里斯·威廉姆斯,Chris Williams
1274351,是枝裕和 Hirokazu Koreeda,是枝裕和,Hirokazu Koreeda
1036605,莱恩·约翰逊 Rian Johnson,莱恩·约翰逊,Rian Johnson
1362256,周申 Shen Zhou,周申,Shen Zhou
1362257,刘露 Lu Liu,刘露,Lu Liu
1313061,皮埃尔·柯芬 Pierre Coffin,皮埃尔·柯芬,Pierre Coffin
1295449,克里斯·雷纳德 Chris Renaud,克里斯·雷纳德,Chris Renaud
1048026,周星驰 Stephen Chow,周星驰,Stephen Chow
1317274,黄东赫 Dong-hyuk Hwang,黄东赫,Dong-hyuk Hwang
1001404,奥利维埃·纳卡什 Olivier Nakache,奥利维埃·纳卡什,Olivier Nakache
1010884,埃里克·托莱达诺 Eric Toledano,埃里克·托莱达诺,Eric Toledano
1019002,蒂姆·波顿 Tim Burton,蒂姆·波顿,Tim Burton
1035651,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,贝纳尔多·贝托鲁奇,Bernardo Bertolucci
1313103,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,普特鹏·普罗萨卡·那·萨克那卡林,Puttipong Promsaka Na Sakolnakorn
1313104,华森·波克彭 Wasin pokpong,华森·波克彭,Wasin pokpong
1010552,乔斯·韦登 Joss Whedon,乔斯·韦登,Joss Whedon
1036409,阿方索·卡隆 Alfonso Cuarón,阿方索·卡隆,Alfonso Cuarón
1010691,威廉·惠勒 William Wyler,威廉·惠勒,William Wyler
1275147,大卫·叶茨 David Yates,大卫·叶茨,David Yates
1054530,梅尔·吉布森 Mel Gibson,梅尔·吉布森,Mel Gibson
1027164,乔恩·费儒 Jon Favreau,乔恩·费儒,Jon Favreau
1031987,戈尔·维宾斯基 Gore Verbinski,戈尔·维宾斯基,Gore Verbinski
1054518,让-皮埃尔·热内 Jean-Pierre Jeunet,让-皮埃尔·热内,Jean-Pierre Jeunet
1331673,纳塔吾·彭皮里亚 Nattawut Poonpiriya,纳塔吾·彭皮里亚,Nattawut Poonpiriya
1285579,卢卡·瓜达尼诺 Luca Guadagnino,卢卡·瓜达尼诺,Luca Guadagnino
1044872,韦斯·安德森 Wes Anderson,韦斯·安德森,Wes Anderson
1054425,马丁·斯科塞斯 Martin Scorsese,马丁·斯科塞斯,Martin Scorsese
1028844,李濬益 Jun-ik Lee,李濬益,Jun-ik Lee
1012521,大卫·芬奇 David Fincher,大卫·芬奇,David Fincher
1326818,柯克·德·米科 Kirk De Micco,柯克·德·米科,Kirk De Micco
1032241,克里斯·桑德斯 Chris Sanders,克里斯·桑德斯,Chris Sanders
1000304,马丁·麦克唐纳 Martin McDonagh,马丁·麦克唐纳,Martin McDonagh
1279265,埃里克·布雷斯 Eric Bress,埃里克·布雷斯,Eric Bress
1285555,J·麦基·格鲁伯 J. Mackye Gruber,J·麦基·格鲁伯,J. Mackye Gruber
1092322,詹姆斯·古恩 James Gunn,詹姆斯·古恩,James Gunn
1280664,程小东 Siu-Tung Ching,程小东,Siu-Tung Ching
1013899,莉莉·沃卓斯基 Lilly Wachowski,莉莉·沃卓斯基,Lilly Wachowski
1161012,拉娜·沃卓斯基 Lana Wachowski,拉娜·沃卓斯基,Lana Wachowski
1055265,马丁·布莱斯特 Martin Brest,马丁·布莱斯特,Martin Brest
1274265,宁浩 Hao Ning,宁浩,Hao Ning
1310107,鲍勃·佩尔西凯蒂 Bob Persichetti,鲍勃·佩尔西凯蒂,Bob Persichetti
1324415,彼得·拉姆齐 Peter Ramsey,彼得·拉姆齐,Peter Ramsey
1296189,罗德尼·罗斯曼 Rodney Rothman,罗德尼·罗斯曼,Rodney Rothman
1379633,木头 MTJJ,木头,MTJJ
1334351,皇贞季 Zhen Wang,皇贞季,Zhen Wang
1436096,顾杰 ,顾杰,
1275041,乔·赖特 Joe Wright,乔·赖特,Joe Wright
1040524,彼得·杰克逊 Peter Jackson,彼得·杰克逊,Peter Jackson
1033402,阿兰·葛斯彭纳 Alain Gsponer,阿兰·葛斯彭纳,Alain Gsponer
1018302,迪恩·德布洛斯 Dean DeBlois,迪恩·德布洛斯,Dean DeBlois
1014996,达米恩·查泽雷 Damien Chazelle,达米恩·查泽雷,Damien Chazelle
1005064,岩井俊二 Shunji Iwai,岩井俊二,Shunji Iwai
1070754,斯蒂芬·卓博斯基 Stephen Chbosky,斯蒂芬·卓博斯基,Stephen Chbosky
1076354,塔伊加·维迪提 Taika Waititi,塔伊加·维迪提,Taika Waititi
1032064,乔纳森·戴米 Jonathan Demme,乔纳森·戴米,Jonathan Demme
1274278,曹保平 Baoping Cao,曹保平,Baoping Cao
1304615,卡比尔·汗 Kabir Khan,卡比尔·汗,Kabir Khan
1276314,克里斯托弗·麦奎里 Christopher McQuarrie,克里斯托弗·麦奎里,Christopher McQuarrie
1279552,克里斯·巴克 Chris Buck,克里斯·巴克,Chris Buck
1335174,珍妮弗·李 Jennifer Lee,珍妮弗·李,Jennifer Lee
1319978,李焕庆 Hwan-kyeong Lee,李焕庆,Hwan-kyeong Lee
1054416,雷德利·斯科特 Ridley Scott,雷德利·斯科特,Ridley Scott
1274331,王晶 Jing Wong,王晶,Jing Wong
1041021,格斯·范·桑特 Gus Van Sant,格斯·范·桑特,Gus Van Sant
1032493,大卫·西尔弗曼 David Silverman,大卫·西尔弗曼,David Silverman
1036395,詹姆斯·曼高德 James Mangold,詹姆斯·曼高德,James Mangold
1041024,王家卫 Kar Wai Wong,王家卫,Kar Wai Wong
1274962,克里斯托弗·史密斯 Christopher Smith,克里斯托弗·史密斯,Christopher Smith
1345498,田晓鹏 Xiaopeng Tian,田晓鹏,Xiaopeng Tian
1032275,维克多·弗莱明 Victor Fleming,维克多·弗莱明,Victor Fleming
1010711,乔治·库克 George Cukor,乔治·库克,George Cukor
1012588,山姆·伍德 Sam Wood,山姆·伍德,Sam Wood
1025246,理查德·林克莱特 Richard Linklater,理查德·林克莱特,Richard Linklater
1275191,大森贵弘 Takahiro Omori,大森贵弘,Takahiro Omori
